,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
14776,15160.0,Appareil fixe-Vast apparaat,Ekersedijk,,2030.0,ANTWERPEN,Antwerpen,Inkom WC buitenkast ,Oui-Ja,,,"Ekersedijk,,Antwerpen,Belgium",51.2848865,4.3935929,
14779,14199.0,Appareil fixe-Vast apparaat,Tongerlostraat,2.0,2040.0,ANTWERPEN,Antwerpen,Buitengevel naast inkom,Oui-Ja,,,"Tongerlostraat,2.0,Antwerpen,Belgium",51.3474119,4.3312774,
14781,14198.0,Appareil fixe-Vast apparaat,Droogdokkenweg,4.0,2000.0,ANTWERPEN,Antwerpen,mobiel gebruik 03/3389314,Non-Nee,,,"Droogdokkenweg,4.0,Antwerpen,Belgium",51.2384957,4.4034319,
14790,16255.0,Appareil fixe-Vast apparaat,Francis Wellensplein,1.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,,,"Francis Wellensplein,1.0,Antwerpen,Belgium",51.2039025,4.3974886,
14791,16256.0,Appareil fixe-Vast apparaat,Mechelsesteenweg,216.0,2018.0,ANTWERPEN,Antwerpen,lokettenzaal harmonie,Oui-Ja,,,"Mechelsesteenweg,216.0,Antwerpen,Belgium",51.2055418,4.4102937,
14792,15206.0,Appareil fixe-Vast apparaat,Mechelsesteenweg,216.0,2018.0,ANTWERPEN,Antwerpen,mobiel toestel kast lokettenzaal,Oui-Ja,,,"Mechelsesteenweg,216.0,Antwerpen,Belgium",51.2055418,4.4102937,
14794,16258.0,Appareil fixe-Vast apparaat,Arenbergstraat,,2000.0,ANTWERPEN,Antwerpen,aan traphal bij inkom,Oui-Ja,,,"Arenbergstraat,,Antwerpen,Belgium",51.2153041,4.4068325,
14795,16259.0,Appareil fixe-Vast apparaat,Suikerrui,,2000.0,ANTWERPEN,Antwerpen,buitengevel ingang,Oui-Ja,,,"Suikerrui,,Antwerpen,Belgium",51.2210792,4.3978819,
14796,16260.0,Appareil fixe-Vast apparaat,August Leyweg,2.0,2020.0,ANTWERPEN,Antwerpen,zwemhal,Oui-Ja,,,"August Leyweg,2.0,Antwerpen,Belgium",51.1949858,4.3778072,
14798,1344.0,Appareil fixe-Vast apparaat,Desguinlei,,2018.0,ANTWERPEN,Antwerpen,in 2e gedeelte inkomhal,Oui-Ja,,,"Desguinlei,,Antwerpen,Belgium",51.194908,4.4044371,
14825,13029.0,Appareil fixe-Vast apparaat,frankrijklei,109.0,2000.0,ANTWERPEN,Antwerpen,inkom winkel,Oui-Ja,,,"frankrijklei,109.0,Antwerpen,Belgium",51.2151342,4.4127668,
14826,13030.0,Appareil fixe-Vast apparaat,leopoldstraat,21.0,2000.0,ANTWERPEN,Antwerpen,inkom winkel,Oui-Ja,,,"leopoldstraat,21.0,Antwerpen,Belgium",51.2141493,4.4070762,
14866,16316.0,Appareil fixe-Vast apparaat,Dwarslaan,7.0,2050.0,ANTWERPEN,Antwerpen,Inkom onder trap,Oui-Ja,,,"Dwarslaan,7.0,Antwerpen,Belgium",51.2221873,4.3472105,
14867,14200.0,Appareil fixe-Vast apparaat,Wandeldijk,40.0,2000.0,ANTWERPEN,Antwerpen,Aan zwembad ehbo lokaal ,Oui-Ja,,,"Wandeldijk,40.0,Antwerpen,Belgium",51.2356225,4.3900691,
14878,16326.0,Appareil fixe-Vast apparaat,Kielsbroek ,44.0,2020.0,Antwerpen,Antwerpen,Aan de ingang van de winkel ,Oui-Ja,Non-Nee,Openingsuren winkel ,"Kielsbroek ,44.0,Antwerpen,Belgium",51.1966325,4.371067,
14907,16354.0,Appareil fixe-Vast apparaat,MONNIKENHOFSTRAAT  ,,2040.0,ANTWERPEN,Antwerpen,"PONDEROSA VOETBALVELD 
Scheidsrechter kantine",Non-Nee,Non-Nee,,"MONNIKENHOFSTRAAT  ,,Antwerpen,Belgium",51.3493748,4.3296395,
14920,16365.0,Appareil fixe-Vast apparaat,Begijnenvest,113.0,2000.0,Antwerpen,Antwerpen,Onthaal,Oui-Ja,Non-Nee,Enkel tijdens de kantooruren 08u00 - 19u00,"Begijnenvest,113.0,Antwerpen,Belgium",51.2106009,4.4052055,
14986,16434.0,Appareil fixe-Vast apparaat,Kruisweg,6.0,2040.0,Antwerpen,Antwerpen,Portocabine - eet- & verpozingsruimte,Non-Nee,Non-Nee,08.00 - 16.30 Hrs,"Kruisweg,6.0,Antwerpen,Belgium",51.3170309,4.3353445,
14995,16444.0,Appareil fixe-Vast apparaat,Antwerpsebaan,44.0,2040.0,Antwerpen,Antwerpen,Onthaal,Oui-Ja,Non-Nee,9-17h,"Antwerpsebaan,44.0,Antwerpen,Belgium",51.3420802,4.3216766,
15137,16576.0,Appareil fixe-Vast apparaat,"Generaal Lemanstraat 67, 2018 Antwerpen",67.0,2018.0,Antwerpen,Antwerpen,te PwC Antwerpen op de 1ste verdieping aan de receptie. ,Oui-Ja,Non-Nee,08:30 - 16:30,"Generaal Lemanstraat 67, 2018 Antwerpen,67.0,Antwerpen,Belgium",51.1939964,4.4115835,
