,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
884,1572.0,,Transcontinentaalweg,10.0,2030.0,Antwerpen,Antwerpen,,,,,"Transcontinentaalweg,10.0,Antwerpen,Belgium",51.2734186,4.3998061,"[(51.273537, 4.397643), (51.273537, 4.399853), (51.27358, 4.399981), (51.273708, 4.400024), (51.275253, 4.400024), (51.275382, 4.400067), (51.275382, 4.400153), (51.275253, 4.400196), (51.273708, 4.400196), (51.27358, 4.400239), (51.273537, 4.400368), (51.273537, 4.403458), (51.273494, 4.403586), (51.273408, 4.403586), (51.273365, 4.403458), (51.273365, 4.401054), (51.273322, 4.400926), (51.273193, 4.400883), (51.272507, 4.400883), (51.272378, 4.40084), (51.272292, 4.400582), (51.272206, 4.400496), (51.272163, 4.400368), (51.272206, 4.400239), (51.272335, 4.400196), (51.27285, 4.400196), (51.272979, 4.400153), (51.273022, 4.400024), (51.273022, 4.399509), (51.273065, 4.399381), (51.273322, 4.399295), (51.273365, 4.399166), (51.273365, 4.397621), (51.273408, 4.397492), (51.273494, 4.397471), (51.273537, 4.397535), (51.273537, 4.397643)]"
885,1573.0,,Steenpoort,5.0,8500.0,Kortrijk,West-Vlaanderen,,,,,"Steenpoort,5.0,West-Vlaanderen,Belgium",51.1506353,3.2834384,"[(51.154361, 3.273218), (51.154275, 3.273282), (51.154232, 3.273411), (51.154232, 3.273582), (51.154189, 3.273711), (51.154103, 3.273797), (51.15406, 3.273926), (51.15406, 3.274097), (51.154017, 3.274226), (51.153932, 3.274312), (51.153889, 3.274441), (51.153889, 3.274612), (51.153846, 3.274741), (51.15376, 3.274827), (51.153674, 3.275084), (51.153588, 3.27517), (51.153545, 3.275299), (51.153545, 3.275471), (51.153502, 3.275599), (51.153417, 3.275685), (51.153374, 3.275814), (51.153374, 3.275986), (51.153331, 3.276114), (51.153245, 3.2762), (51.153159, 3.276458), (51.153073, 3.276544), (51.15303, 3.276672), (51.15303, 3.276844), (51.152987, 3.276973), (51.152902, 3.277059), (51.152816, 3.277316), (51.15273, 3.277402), (51.152687, 3.277531), (51.152687, 3.277702), (51.152644, 3.277831), (51.152558, 3.277917), (51.152472, 3.278174), (51.152387, 3.27826), (51.152344, 3.278389), (51.152344, 3.278561), (51.152301, 3.278689), (51.152215, 3.278775), (51.152172, 3.278904), (51.152172, 3.279076), (51.152129, 3.279204), (51.152043, 3.27929), (51.151958, 3.279548), (51.151872, 3.279634), (51.151829, 3.279762), (51.151829, 3.279934), (51.151786, 3.280063), (51.1517, 3.280149), (51.151657, 3.280277), (51.151657, 3.280449), (51.151614, 3.280578), (51.151528, 3.280663), (51.151485, 3.280792), (51.151485, 3.280964), (51.151443, 3.281093), (51.151357, 3.281178), (51.151314, 3.281307), (51.151314, 3.281479), (51.151271, 3.281608), (51.151185, 3.281693), (51.151142, 3.281822), (51.151142, 3.281994), (51.151099, 3.282123), (51.151013, 3.282208), (51.15097, 3.282337), (51.15097, 3.282681), (51.150928, 3.282809), (51.150842, 3.282895), (51.150799, 3.283024), (51.150799, 3.283195), (51.150756, 3.283324), (51.15067, 3.28341), (51.150627, 3.283539), (51.150627, 3.283882), (51.150584, 3.284011), (51.150498, 3.284097), (51.150455, 3.284225), (51.150455, 3.284397), (51.150413, 3.284526), (51.150327, 3.284612), (51.150241, 3.284869), (51.150155, 3.284955), (51.150112, 3.285084), (51.150112, 3.285255), (51.150069, 3.285384), (51.149983, 3.28547), (51.149898, 3.285728), (51.14964, 3.285985), (51.149554, 3.286242), (51.149297, 3.2865), (51.149211, 3.286757), (51.148953, 3.287015), (51.148868, 3.287272), (51.14861, 3.28753), (51.148524, 3.287787), (51.148095, 3.288217), (51.148009, 3.288474), (51.147881, 3.288517), (51.147752, 3.288474), (51.147709, 3.288345), (51.147752, 3.288217), (51.148009, 3.287959), (51.148095, 3.287702), (51.148524, 3.287272), (51.14861, 3.287015), (51.148868, 3.286757), (51.148953, 3.2865), (51.149211, 3.286242), (51.149297, 3.285985), (51.149554, 3.285728), (51.14964, 3.28547), (51.149726, 3.285384), (51.149812, 3.285127), (51.149898, 3.285041), (51.14994, 3.284912), (51.14994, 3.28474), (51.149983, 3.284612), (51.150069, 3.284526), (51.150155, 3.284268), (51.150241, 3.284183), (51.150284, 3.284054), (51.150284, 3.283882), (51.150327, 3.283753), (51.150413, 3.283668), (51.150455, 3.283539), (51.150455, 3.283367), (51.150498, 3.283238), (51.150584, 3.283153), (51.150627, 3.283024), (51.150627, 3.282681), (51.15067, 3.282552), (51.150756, 3.282466), (51.150799, 3.282337), (51.150799, 3.282166), (51.150842, 3.282037), (51.150928, 3.281951), (51.15097, 3.281822), (51.15097, 3.281479), (51.151013, 3.28135), (51.151099, 3.281264), (51.151185, 3.281007), (51.151271, 3.280921), (51.151314, 3.280792), (51.151314, 3.280449), (51.151357, 3.28032), (51.151443, 3.280234), (51.151485, 3.280106), (51.151485, 3.279934), (51.151528, 3.279805), (51.151614, 3.279719), (51.1517, 3.279462), (51.151786, 3.279376), (51.151829, 3.279247), (51.151829, 3.279076), (51.151872, 3.278947), (51.151958, 3.278861), (51.152, 3.278732), (51.152, 3.278561), (51.152043, 3.278432), (51.152129, 3.278346), (51.152215, 3.278089), (51.152301, 3.278003), (51.152344, 3.277874), (51.152344, 3.277702), (51.152387, 3.277574), (51.152472, 3.277488), (51.152558, 3.27723), (51.152644, 3.277144), (51.152687, 3.277016), (51.152687, 3.276844), (51.15273, 3.276715), (51.152816, 3.276629), (51.152859, 3.276501), (51.152859, 3.276329), (51.152902, 3.2762), (51.152987, 3.276114), (51.153073, 3.275857), (51.153159, 3.275771), (51.153202, 3.275642), (51.153202, 3.275471), (51.153245, 3.275342), (51.153331, 3.275256), (51.153417, 3.274999), (51.153502, 3.274913), (51.153545, 3.274784), (51.153545, 3.274612), (51.153588, 3.274484), (51.153674, 3.274398), (51.153717, 3.274269), (51.153717, 3.274097), (51.15376, 3.273969), (51.153846, 3.273883), (51.153932, 3.273625), (51.154017, 3.27354), (51.15406, 3.273411), (51.15406, 3.273239), (51.154103, 3.27311), (51.154232, 3.273067), (51.154361, 3.273089), (51.154404, 3.273153), (51.154361, 3.273218)]"
889,1577.0,,J. Van Rijswijcklaan,191.0,2020.0,Antwerpen,Antwerpen,,Y,,,"J. Van Rijswijcklaan,191.0,Antwerpen,Belgium",51.1911166,4.3982918,"[(51.189466, 4.395883), (51.189551, 4.395947), (51.189809, 4.396205), (51.189895, 4.396205), (51.189981, 4.396119), (51.190066, 4.396119), (51.190109, 4.396248), (51.190109, 4.396591), (51.190152, 4.39672), (51.19041, 4.396977), (51.190495, 4.397235), (51.190839, 4.397578), (51.190968, 4.397621), (51.191139, 4.397621), (51.191268, 4.397664), (51.191354, 4.397922), (51.191483, 4.397964), (51.191611, 4.397922), (51.191654, 4.397793), (51.191654, 4.397278), (51.191697, 4.397149), (51.191826, 4.397106), (51.191955, 4.397149), (51.191998, 4.397278), (51.191998, 4.398479), (51.19204, 4.398608), (51.192126, 4.398694), (51.192169, 4.398823), (51.192169, 4.398994), (51.192212, 4.399123), (51.192384, 4.399295), (51.192641, 4.399381), (51.192684, 4.399509), (51.192684, 4.399681), (51.192727, 4.39981), (51.192813, 4.399896), (51.192813, 4.399981), (51.192555, 4.400067), (51.192555, 4.400153), (51.192985, 4.400582), (51.193027, 4.400711), (51.193027, 4.400883), (51.192985, 4.401011), (51.192899, 4.401011), (51.192555, 4.400668), (51.19247, 4.400411), (51.192212, 4.400153), (51.192126, 4.399896), (51.191869, 4.399638), (51.191783, 4.399381), (51.191525, 4.399123), (51.19144, 4.398866), (51.19101, 4.398437), (51.190925, 4.398179), (51.190667, 4.397922), (51.190581, 4.397664), (51.190066, 4.397149), (51.189981, 4.397149), (51.189938, 4.397278), (51.189938, 4.397449), (51.189895, 4.397578), (51.189809, 4.397664), (51.189766, 4.397793), (51.189766, 4.397964), (51.189723, 4.398093), (51.189637, 4.398093), (51.189594, 4.397964), (51.189594, 4.397449), (51.189637, 4.397321), (51.189723, 4.397235), (51.189723, 4.397149), (51.189637, 4.397063), (51.189551, 4.396806), (51.189466, 4.39672), (51.189423, 4.396591), (51.189423, 4.396248), (51.18938, 4.396119), (51.189294, 4.396033), (51.189251, 4.395905), (51.189294, 4.395776), (51.18938, 4.395754), (51.189466, 4.395883)]"
993,1707.0,,Meistraat,4.0,2000.0,Antwerpen,Antwerpen,,,,,"Meistraat,4.0,Antwerpen,Belgium",51.2155588,4.4105948,"[(51.215515, 4.408114), (51.215515, 4.408951), (51.215558, 4.40908), (51.215687, 4.409122), (51.21603, 4.409122), (51.216159, 4.409165), (51.216159, 4.409251), (51.21603, 4.409294), (51.215515, 4.409294), (51.215386, 4.409337), (51.215343, 4.409466), (51.215343, 4.410324), (51.215386, 4.410453), (51.215472, 4.410453), (51.215558, 4.410367), (51.215687, 4.410324), (51.216373, 4.410324), (51.216502, 4.410281), (51.216545, 4.410152), (51.216545, 4.409637), (51.216502, 4.409509), (51.216416, 4.409423), (51.216373, 4.409294), (51.216373, 4.408951), (51.216416, 4.408822), (51.216545, 4.408779), (51.216674, 4.408822), (51.216717, 4.408951), (51.216717, 4.410152), (51.21676, 4.410281), (51.216888, 4.410324), (51.217575, 4.410324), (51.217704, 4.410367), (51.217704, 4.410453), (51.217575, 4.410496), (51.217232, 4.410496), (51.217103, 4.410539), (51.217017, 4.410625), (51.21676, 4.41071), (51.216717, 4.410839), (51.21676, 4.410968), (51.216846, 4.411054), (51.216888, 4.411182), (51.216888, 4.411869), (51.216846, 4.411998), (51.216717, 4.412041), (51.215858, 4.412041), (51.21573, 4.412084), (51.215644, 4.412341), (51.215386, 4.412599), (51.215301, 4.412856), (51.215172, 4.412899), (51.215043, 4.412856), (51.215, 4.412727), (51.215043, 4.412599), (51.215129, 4.412513), (51.215172, 4.412384), (51.215172, 4.412212), (51.215215, 4.412084), (51.215644, 4.411654), (51.215687, 4.411526), (51.215687, 4.410839), (51.215644, 4.41071), (51.215515, 4.410667), (51.215343, 4.410667), (51.215215, 4.41071), (51.215129, 4.410796), (51.215, 4.410839), (51.214314, 4.410839), (51.214185, 4.410882), (51.214099, 4.411139), (51.214013, 4.411225), (51.213927, 4.411483), (51.213799, 4.411526), (51.21367, 4.411483), (51.213627, 4.411354), (51.213627, 4.411011), (51.21367, 4.410882), (51.213927, 4.410796), (51.214013, 4.410539), (51.214099, 4.410453), (51.214142, 4.410324), (51.214142, 4.409637), (51.214099, 4.409509), (51.214013, 4.409423), (51.21397, 4.409294), (51.214013, 4.409165), (51.214142, 4.409122), (51.214828, 4.409122), (51.214957, 4.40908), (51.215129, 4.408908), (51.215172, 4.408779), (51.215172, 4.408092), (51.215215, 4.407964), (51.215343, 4.407921), (51.215472, 4.407942), (51.215515, 4.408007), (51.215515, 4.408114)]"
1107,1865.0,,Kipdorp,57.0,2000.0,Antwerpen,Antwerpen,1st verdieping,Y,,,"Kipdorp,57.0,Antwerpen,Belgium",51.2209283,4.4076469,"[(51.22118, 4.404166), (51.221223, 4.404273), (51.221309, 4.404273), (51.221395, 4.404187), (51.22148, 4.404187), (51.221523, 4.404316), (51.221523, 4.404488), (51.221566, 4.404616), (51.221824, 4.404702), (51.221867, 4.404831), (51.221867, 4.405003), (51.221824, 4.405131), (51.221695, 4.405174), (51.221523, 4.405174), (51.221395, 4.405217), (51.221352, 4.405346), (51.221352, 4.406033), (51.221309, 4.406161), (51.221223, 4.406247), (51.22118, 4.406376), (51.22118, 4.406891), (51.221223, 4.40702), (51.221352, 4.407063), (51.22148, 4.40702), (51.221652, 4.406848), (51.221695, 4.406719), (51.221695, 4.406033), (51.221738, 4.405904), (51.221867, 4.405861), (51.221995, 4.405904), (51.221995, 4.40599), (51.22191, 4.406075), (51.221867, 4.406204), (51.221867, 4.407234), (51.221824, 4.407363), (51.221738, 4.407449), (51.221695, 4.407578), (51.221695, 4.408092), (51.221738, 4.408221), (51.221867, 4.408264), (51.222038, 4.408264), (51.222167, 4.408307), (51.222253, 4.408393), (51.22251, 4.408479), (51.22251, 4.408565), (51.222382, 4.408607), (51.222038, 4.408607), (51.22191, 4.408565), (51.221824, 4.408479), (51.221695, 4.408436), (51.221566, 4.408479), (51.221523, 4.408607), (51.221523, 4.409809), (51.22148, 4.409938), (51.221395, 4.410024), (51.221352, 4.410152), (51.221395, 4.410281), (51.22148, 4.410367), (51.22148, 4.410453), (51.221352, 4.410496), (51.221223, 4.410453), (51.221137, 4.410367), (51.221008, 4.410324), (51.220837, 4.410324), (51.220708, 4.410367), (51.220665, 4.410496), (51.220665, 4.411011), (51.220622, 4.411139), (51.220536, 4.411225), (51.22045, 4.411483), (51.220365, 4.411483), (51.220322, 4.411354), (51.220322, 4.411011), (51.220365, 4.410882), (51.22045, 4.410796), (51.220493, 4.410667), (51.220493, 4.409981), (51.220536, 4.409852), (51.220622, 4.409766), (51.220665, 4.409637), (51.220665, 4.408436), (51.220708, 4.408307), (51.220794, 4.408221), (51.220837, 4.408092), (51.220794, 4.407964), (51.220536, 4.407878), (51.22045, 4.407792), (51.220193, 4.407706), (51.220107, 4.40762), (51.21985, 4.407535), (51.219592, 4.407277), (51.219463, 4.407234), (51.219292, 4.407234), (51.219163, 4.407191), (51.21912, 4.407063), (51.219163, 4.406934), (51.219292, 4.406891), (51.21942, 4.406934), (51.219506, 4.40702), (51.219635, 4.407063), (51.219764, 4.40702), (51.219807, 4.406891), (51.219807, 4.406548), (51.219764, 4.406419), (51.219506, 4.406333), (51.219463, 4.406204), (51.219506, 4.406075), (51.219764, 4.40599), (51.21985, 4.405732), (51.219978, 4.405689), (51.220107, 4.405732), (51.22015, 4.405861), (51.22015, 4.406033), (51.220193, 4.406161), (51.220365, 4.406333), (51.220622, 4.406419), (51.220708, 4.406505), (51.220837, 4.406548), (51.220965, 4.406505), (51.221008, 4.406376), (51.221008, 4.405689), (51.221051, 4.40556), (51.221137, 4.405475), (51.22118, 4.405346), (51.22118, 4.404831), (51.221137, 4.404702), (51.221051, 4.404616), (51.221008, 4.404488), (51.221008, 4.404144), (51.221051, 4.404016), (51.221137, 4.403994), (51.22118, 4.404058), (51.22118, 4.404166)]"
1113,1871.0,,Noorderlaan,127.0,2030.0,Antwerpen,Antwerpen, glvl nabij ingang lift,Y,,,"Noorderlaan,127.0,Antwerpen,Belgium",51.2697864,4.3766281,"[(51.26873, 4.375327), (51.26873, 4.375648), (51.268773, 4.375777), (51.268945, 4.375949), (51.269073, 4.375992), (51.269245, 4.375992), (51.269374, 4.376035), (51.270061, 4.376721), (51.270146, 4.376979), (51.270232, 4.377065), (51.270318, 4.377322), (51.270576, 4.37758), (51.270661, 4.377837), (51.270747, 4.377923), (51.270833, 4.378181), (51.271091, 4.378438), (51.271176, 4.378695), (51.271262, 4.378781), (51.271348, 4.379039), (51.271434, 4.379125), (51.271477, 4.379253), (51.271434, 4.379382), (51.271348, 4.379382), (51.271005, 4.379039), (51.270919, 4.378781), (51.270833, 4.378695), (51.270747, 4.378438), (51.270661, 4.378352), (51.270576, 4.378095), (51.270318, 4.377837), (51.270232, 4.37758), (51.270146, 4.377494), (51.270061, 4.377236), (51.269803, 4.376979), (51.269717, 4.376721), (51.269374, 4.376378), (51.269116, 4.376292), (51.269031, 4.376206), (51.268902, 4.376163), (51.268559, 4.376163), (51.26843, 4.376206), (51.268344, 4.376292), (51.268086, 4.376378), (51.267657, 4.376807), (51.267571, 4.376807), (51.267529, 4.376678), (51.267571, 4.37655), (51.268086, 4.376035), (51.268215, 4.375992), (51.268387, 4.375992), (51.268516, 4.375949), (51.268559, 4.37582), (51.268516, 4.375691), (51.268258, 4.375606), (51.268215, 4.375477), (51.268258, 4.375348), (51.26843, 4.375176), (51.268559, 4.375134), (51.268687, 4.375155), (51.26873, 4.375219), (51.26873, 4.375327)]"
1140,1913.0,,Zaha Hadidplein,1.0,2030.0,Antwerpen,Antwerpen,,,,,"Zaha Hadidplein,1.0,Antwerpen,Belgium",51.2401563,4.4084129,"[(51.241608, 4.407942), (51.241565, 4.40805), (51.241479, 4.408135), (51.241436, 4.408264), (51.241436, 4.408436), (51.241393, 4.408565), (51.241307, 4.40865), (51.241264, 4.408779), (51.241264, 4.408951), (51.241307, 4.40908), (51.241393, 4.409165), (51.241393, 4.409251), (51.241264, 4.409294), (51.241136, 4.409251), (51.24105, 4.408994), (51.240921, 4.408951), (51.240792, 4.408994), (51.240706, 4.40908), (51.240578, 4.409122), (51.240449, 4.40908), (51.240363, 4.408951), (51.240277, 4.408865), (51.240191, 4.408908), (51.239934, 4.408994), (51.239848, 4.40908), (51.239719, 4.409122), (51.238689, 4.409122), (51.238561, 4.40908), (51.238518, 4.408951), (51.238561, 4.408822), (51.238689, 4.408779), (51.239719, 4.408779), (51.239848, 4.408736), (51.239934, 4.408479), (51.24002, 4.408393), (51.240106, 4.408135), (51.240363, 4.40805), (51.240449, 4.407964), (51.240578, 4.407921), (51.240749, 4.407921), (51.240878, 4.407964), (51.240964, 4.40805), (51.241093, 4.408092), (51.241221, 4.40805), (51.241307, 4.407792), (51.241436, 4.407749), (51.241565, 4.407771), (51.241608, 4.407835), (51.241608, 4.407942)]"
1141,1914.0,,Loodglansstraat,5.0,2030.0,Antwerpen,Antwerpen,"Gebouw A, glkvl. Verd.",,,,"Loodglansstraat,5.0,Antwerpen,Belgium",51.2463925,4.4109875,"[(51.245213, 4.408972), (51.245255, 4.40908), (51.245341, 4.409165), (51.245384, 4.409294), (51.245384, 4.409466), (51.245427, 4.409595), (51.245513, 4.40968), (51.245556, 4.409809), (51.245556, 4.409981), (51.245599, 4.41011), (51.245942, 4.410453), (51.2462, 4.410539), (51.246371, 4.41071), (51.246457, 4.410968), (51.246543, 4.411054), (51.246586, 4.411182), (51.246586, 4.411354), (51.246629, 4.411483), (51.246715, 4.411569), (51.246758, 4.411697), (51.246758, 4.411869), (51.2468, 4.411998), (51.246886, 4.412084), (51.246929, 4.412212), (51.246929, 4.412384), (51.246972, 4.412513), (51.247101, 4.412556), (51.247272, 4.412556), (51.247401, 4.412513), (51.248345, 4.411569), (51.248603, 4.411483), (51.248689, 4.411397), (51.248775, 4.411397), (51.248817, 4.411526), (51.248775, 4.411654), (51.24826, 4.412169), (51.248002, 4.412255), (51.247401, 4.412856), (51.247144, 4.412942), (51.247058, 4.413028), (51.246972, 4.413028), (51.2468, 4.412856), (51.246758, 4.412727), (51.246758, 4.412556), (51.246715, 4.412427), (51.246629, 4.412341), (51.246586, 4.412212), (51.246586, 4.411869), (51.246543, 4.41174), (51.246457, 4.411654), (51.246414, 4.411526), (51.246414, 4.411354), (51.246371, 4.411225), (51.246285, 4.411139), (51.2462, 4.410882), (51.245942, 4.410796), (51.245685, 4.410539), (51.245427, 4.410453), (51.245384, 4.410324), (51.245384, 4.410152), (51.245341, 4.410024), (51.245255, 4.409938), (51.245213, 4.409809), (51.245213, 4.409637), (51.24517, 4.409509), (51.245084, 4.409423), (51.245041, 4.409294), (51.245041, 4.408951), (51.245084, 4.408822), (51.24517, 4.408801), (51.245213, 4.408865), (51.245213, 4.408972)]"
1142,1915.0,,Hanzestedenplaats,19.0,2000.0,Antwerpen,Antwerpen,"glvl, achter bergingsdeur",,,,"Hanzestedenplaats,19.0,Antwerpen,Belgium",51.2287034,4.4051899,"[(51.227703, 4.403479), (51.227746, 4.403586), (51.228004, 4.403672), (51.228046, 4.403801), (51.228046, 4.403973), (51.228089, 4.404101), (51.228218, 4.404144), (51.229076, 4.404144), (51.229205, 4.404187), (51.229248, 4.404316), (51.229248, 4.405174), (51.229291, 4.405303), (51.22942, 4.405346), (51.229548, 4.405303), (51.229591, 4.405174), (51.229591, 4.404144), (51.229634, 4.404016), (51.229763, 4.403973), (51.229892, 4.404016), (51.229935, 4.404144), (51.229935, 4.405003), (51.229978, 4.405131), (51.230106, 4.405174), (51.230278, 4.405174), (51.230407, 4.405217), (51.230407, 4.405303), (51.230149, 4.405389), (51.230063, 4.405475), (51.229935, 4.405518), (51.229763, 4.405518), (51.229634, 4.40556), (51.229548, 4.405646), (51.22942, 4.405689), (51.228733, 4.405689), (51.228604, 4.405732), (51.228518, 4.405818), (51.22839, 4.405861), (51.228218, 4.405861), (51.228089, 4.405818), (51.228004, 4.40556), (51.227832, 4.405389), (51.227746, 4.405389), (51.227703, 4.405518), (51.227703, 4.406548), (51.22766, 4.406676), (51.227574, 4.406676), (51.227531, 4.406548), (51.227531, 4.405518), (51.227489, 4.405389), (51.22736, 4.405346), (51.227231, 4.405389), (51.227188, 4.405518), (51.227188, 4.406033), (51.227145, 4.406161), (51.227059, 4.406161), (51.227016, 4.406033), (51.227016, 4.405861), (51.226974, 4.405732), (51.226888, 4.405646), (51.226802, 4.405389), (51.226544, 4.405303), (51.226373, 4.405131), (51.226373, 4.405046), (51.226501, 4.405003), (51.227188, 4.405003), (51.227317, 4.405046), (51.227403, 4.405131), (51.227489, 4.405131), (51.227531, 4.405003), (51.227531, 4.403458), (51.227574, 4.403329), (51.22766, 4.403307), (51.227703, 4.403372), (51.227703, 4.403479)]"
1143,1916.0,,Droogdokkenweg,4.0,2030.0,Antwerpen,Antwerpen," glvl, trappenhal naar secr.",,,,"Droogdokkenweg,4.0,Antwerpen,Belgium",51.2384957,4.4034319,"[(51.240106, 4.402921), (51.240191, 4.402986), (51.240277, 4.403243), (51.240363, 4.403329), (51.240406, 4.403458), (51.240406, 4.403629), (51.240363, 4.403758), (51.240277, 4.403758), (51.240106, 4.403586), (51.240063, 4.403458), (51.240063, 4.403286), (51.24002, 4.403157), (51.239891, 4.403114), (51.239719, 4.403114), (51.239591, 4.403157), (51.239505, 4.403243), (51.239247, 4.403329), (51.239161, 4.403415), (51.239033, 4.403458), (51.238861, 4.403458), (51.238732, 4.403501), (51.238647, 4.403586), (51.238518, 4.403629), (51.236629, 4.403629), (51.236501, 4.403586), (51.236329, 4.403415), (51.236329, 4.403329), (51.236458, 4.403286), (51.237316, 4.403286), (51.237445, 4.403329), (51.237531, 4.403415), (51.237659, 4.403458), (51.237831, 4.403458), (51.23796, 4.403415), (51.238046, 4.403329), (51.238174, 4.403286), (51.238518, 4.403286), (51.238647, 4.403243), (51.238732, 4.403157), (51.238861, 4.403114), (51.239033, 4.403114), (51.239161, 4.403071), (51.239247, 4.402986), (51.239505, 4.4029), (51.239591, 4.402814), (51.239719, 4.402771), (51.239891, 4.402771), (51.24002, 4.402792), (51.240106, 4.402921)]"
1144,1917.0,,Kauwenstein ,,2030.0,Antwerpen,Antwerpen,centr. Dienstengeb. 1e verd. Traphal,,,,"Kauwenstein ,,Antwerpen,Belgium",51.2772824,4.3324851,"[(51.278515, 4.329836), (51.278558, 4.329944), (51.278644, 4.330029), (51.278687, 4.330158), (51.278644, 4.330287), (51.278558, 4.330373), (51.278472, 4.33063), (51.278386, 4.330716), (51.278386, 4.330845), (51.278472, 4.330931), (51.278558, 4.330888), (51.278729, 4.330716), (51.278815, 4.330716), (51.278858, 4.330845), (51.278815, 4.330974), (51.278386, 4.331403), (51.2783, 4.33166), (51.277957, 4.332004), (51.277699, 4.332089), (51.277528, 4.332261), (51.277442, 4.332519), (51.277184, 4.332776), (51.277099, 4.333034), (51.27667, 4.333463), (51.276627, 4.333591), (51.276627, 4.333935), (51.276584, 4.334064), (51.276498, 4.334149), (51.276412, 4.334407), (51.276155, 4.334664), (51.276069, 4.334922), (51.275983, 4.334922), (51.275811, 4.33475), (51.275725, 4.334493), (51.27564, 4.334407), (51.275597, 4.334278), (51.27564, 4.334149), (51.275811, 4.333978), (51.276069, 4.333892), (51.27624, 4.33372), (51.276326, 4.333463), (51.276755, 4.333034), (51.276841, 4.332776), (51.277099, 4.332519), (51.277142, 4.33239), (51.277099, 4.332261), (51.277013, 4.332175), (51.276927, 4.331918), (51.27667, 4.33166), (51.276584, 4.331403), (51.276498, 4.331317), (51.276412, 4.331059), (51.276326, 4.330974), (51.276283, 4.330845), (51.276283, 4.330673), (51.276326, 4.330544), (51.276584, 4.330287), (51.27667, 4.330029), (51.276841, 4.329858), (51.27697, 4.329815), (51.277099, 4.329858), (51.277099, 4.329944), (51.276841, 4.330201), (51.276755, 4.330459), (51.27667, 4.330544), (51.276627, 4.330673), (51.276627, 4.330845), (51.27667, 4.330974), (51.276755, 4.331059), (51.276841, 4.331317), (51.276927, 4.331403), (51.277013, 4.33166), (51.277099, 4.331746), (51.277184, 4.332004), (51.277313, 4.332047), (51.277442, 4.332004), (51.277485, 4.331875), (51.277485, 4.331532), (51.277442, 4.331403), (51.277356, 4.331317), (51.27727, 4.331059), (51.277013, 4.330802), (51.27697, 4.330673), (51.27697, 4.330502), (51.277013, 4.330373), (51.277099, 4.330373), (51.27727, 4.330544), (51.277356, 4.330802), (51.277442, 4.330888), (51.277528, 4.331145), (51.277699, 4.331317), (51.277785, 4.331317), (51.277871, 4.331059), (51.277957, 4.330974), (51.278043, 4.330716), (51.278129, 4.33063), (51.278214, 4.330373), (51.2783, 4.330287), (51.278343, 4.330158), (51.2783, 4.330029), (51.278214, 4.329944), (51.278172, 4.329815), (51.278214, 4.329686), (51.278343, 4.329643), (51.278472, 4.329665), (51.278515, 4.329729), (51.278515, 4.329836)]"
1145,1918.0,,Blauwhoefstraat,11.0,2040.0,Antwerpen,Antwerpen,"werkhuis, glvl, EHBO lok",,,,"Blauwhoefstraat,11.0,Antwerpen,Belgium",51.3148595,4.3209569,"[(51.315422, 4.31885), (51.315422, 4.319), (51.315379, 4.319129), (51.314778, 4.31973), (51.314735, 4.319859), (51.314735, 4.320202), (51.314778, 4.320331), (51.315036, 4.320588), (51.315079, 4.320717), (51.315036, 4.320846), (51.314006, 4.321876), (51.313748, 4.321961), (51.313705, 4.32209), (51.313705, 4.322433), (51.313663, 4.322562), (51.313577, 4.322562), (51.313491, 4.322476), (51.313362, 4.322433), (51.313233, 4.322476), (51.313148, 4.322734), (51.313062, 4.32282), (51.312976, 4.323077), (51.31289, 4.323077), (51.312847, 4.322948), (51.312847, 4.322605), (51.31289, 4.322476), (51.313491, 4.321876), (51.313491, 4.32179), (51.313233, 4.321704), (51.31319, 4.321575), (51.313233, 4.321446), (51.313491, 4.321361), (51.313577, 4.321275), (51.313834, 4.321189), (51.314349, 4.320674), (51.314349, 4.320588), (51.314263, 4.320502), (51.31422, 4.320374), (51.31422, 4.320202), (51.314178, 4.320073), (51.314092, 4.319987), (51.314006, 4.31973), (51.31392, 4.319644), (51.313877, 4.319515), (51.31392, 4.319386), (51.314049, 4.319344), (51.314178, 4.319386), (51.31422, 4.319515), (51.31422, 4.319687), (51.314263, 4.319816), (51.314349, 4.319816), (51.314521, 4.319644), (51.314607, 4.319386), (51.315293, 4.3187), (51.315379, 4.318678), (51.315422, 4.318743), (51.315422, 4.31885)]"
